sender,text,intent,label
BDO Deals,"Get 5% or up to P3,000 Rebate on Supermarket spend using your BDO Mastercard. Valid for a minimum cumulative spend of P20K from Aug 15 - Sept 15, 2024. Enroll NOW using your Promo ID 432A4649AA For T&Cs, search Supermarket Rebate on BDO Web. DTI199999.",Commercial Spam,1
+63981****402,"vyvz3456@gmail.com, Beloved, contact my email regarding the urgent remote job offer, thanks.",Job Scam,7
GLOBEATHOME,"Hi! Nais naming ipaalam sa iyo na magkakaroon kami ng system activity from March 24, 10 PM to March 25, 1:30 AM. Sa mga oras na ito, hindi magiging available ang ilang account-related requests at transactions. Para maiwasan ang abala, siguraduhing naka-register na sa promos bago magsimula ang activity. Salamat sa iyong pag-unawa.",Commercial Spam,1
+6398543***50,JiliFree 60P For NewMember! >>> tny.im/Skydream skydream-casino. com Top10 Most Popular JILISlot/B@ccarat/Sabong Bonus Spending any money at any moment!,Gambling Scam,3
+63985****304,Trying to reaching out SBET game? play & win visit this link: sbetph. (life),Gambling Scam,3
+63640****000,"YoEarn money-making airdrop project, come and sign up to receive a points spree!http://vhwlpj.com",Job Scam,7
+63963****432,"BER Month fun awaits at http://jackpotcity.vegas! Grab free Golden Eggs, a Php 7,777 deposit boost, and a Php20 app bonus. Start playing for thrilling wins now!",Raffle Scam,11
+63640****000,"Mas marami kang laro, mas marami kang kitain - Inilunsad ang W19 Games Triple Cashback Plan hanggang 0.8%! https://v.ht/SM-kWu",Gambling Scam,3
+63909****318,"Daily Lucky Wheel at Gojpluswild.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Grab your chance to win big!",Raffle Scam,11
+63981****728,Bigyan kita libreng 6000P investment capital! Pindutin at magbukas ng account para kunin ang puhunan at simulan ang daily ROI: http://u3mwdy.com,Investment Scam,6
+63930****452,"Good day from GCash, Please be advised that we are asking everyone to verify their account to avoid deactivation tomorrow. Verify here: kol.vin/GcashReferral",Bank Scam,0
+63981****129,"(GCash Name),Hi! Friend, pindutin ang http://5irpkseo.com may makakha ng perang panglaro, mabilis kumita",Prize Scam,10
+63640****000,[NAME]. !Nagbabagang kaganapan sa Winning+ Mag rehistro at Kuhanin ang Jili Mega Jackpot at 8888 Bonus! wppremyo.com/LUCK8888,Gambling Scam,3
+63965****499,"Sorry, late reply. Just saw your message now.",HAM,5
+63981****245,4 PIECES SOLAR STREET LIGHTS FOR ONLY 1299!!! PINAKA MURANG PRESYO SA MARKET ! CLICK IF INTERESTED FOR PRICE/BUY ---> https://invol.co/clc31bs BUY 2 TAKE 2 TODAY ONLY!!! PAKI-CLICK ANG LINK SA TAAS PARA MAKITA ANG PRESYO AT PICTURES. PLEASE DO NOT CLICK IF NOT INTERESTED!!! THANK YOU!,Commercial Spam,1
SMART,"Here's a special Smart deal for PLDT subscribers. Get 25% OFF for 12 months on a NEW Smart Postpaid SIM-Only Plan 999 and up (up to P7,497 savings). Just present your PLDT eStatement of Account and landline number (must be a PLDT subscriber for at least 6 months). Apply now at any Smart Store. DTI-FTEB#230354 valid until 12/31/25. T&Cs apply.",Commercial Spam,1
+6398555***44,I just got 777 B0NUS at W19 Games ! Just sign up and try now! w19w2.xyz,Gambling Scam,3
+63909****166,"DSWD NOTICE: Your 600 Ayuda Points will Expire on OCT 8, 2022. Convert to 600 Bonus Prepaid government assistance. Dial the official portal number to verify beneficiary status.",Government Spoofing,4
+6398112***49,Magtaya nang may saya! Libreng P288 at 100% deposit bonus! Sumali na sa: clickhere.cx/pNTVzioGpzxS2BV at magsimula ng pagwawagi!,Gambling Scam,3
+6396306***52,"Experience BER Month thrills at https://GoJackpot.vegas ! Claim free Golden Eggs, enjoy a Php 7,777 boost, and get a Php20 app bonus. Play for exciting wins now!",Gambling Scam,3
+63640****000,[ Betso88 x Epicwin ]: Welcome back Epic Family ! PROMO ALERT ! Deposit now and GET 3 FREE WHEEL SPINS with prizes up to 500P! Trusted website : EpicWin.tv,Gambling Scam,3
+63640****000,[NAME].! Win a Different prizes at unibetbonu1.com Deposit now to get a Real-time Rebate of up to 1%-1.5.,Raffle Scam,11
+63640****000,"4.Mag-recharge get 100% bonus, gamitin ang 100 para manalo ng 10k! 1q2w3e1.ca",Prize Scam,10
+6398548***69,FINAL WARNING : UnionBank has deactivated your account for security reasons after a recent data breach. Please visit https://jmp.by/RzM3KwE,Bank Scam,0
+6398519***38,BDO-ADVISORY: Your registered mobile number needs to be updated today. Please update here:https://bdo-mobile.online/SIM to continue receiving One-Time Pin(OTP),Bank Scam,0
smart,"Hi SCOTT ! Don't miss the chance to get your FREE 1-year LANDERS Membership (worth P700) using this voucher code: SMXL23S4WE (valid until Apr 30, 2023)! Show this SMS to the membership counter of your preferred LANDERS SuperStore branch or sign-up/renew via LANDERS PH website. Shop safely & pay cashless at Landers! For more info about this exclusive perk, visit smrt.ph/freelanders. T&Cs apply. DTI#156461 Please disregard if already claimed",Commercial Spam,1
+63907****899,Congrats VIP! You've won 300% First Deposit Bonus and FREE100 FBS Bonus! Claim now before its gone! Contact Customer Service to seize your luck! pnlkawon.de !,Prize Scam,10
pldthome,"An Anker Nebula Capsule II portable projector could be yours, SCOTT! Stream blockbuster movies on the big screen anywhere and anytime with Lionsgate Play! Simply sign up for your FREE Lionsgate Play voucher and activate it to get a chance to win this and more amazing prizes! Visit pldthome.info/LGPoct2 to sign up now! DTI150265S2022",Commercial Spam,1
GCash,"Mapuputulan na ng kuryente? Diskarte no more! May easy pantawid ka na sa bills kaya 'di na ipit 'pag gipit. Kaya today with GCredit, powered by CIMB!",Commercial Spam,1
+63985****208,phluck.tv/hIJ4wy Doblehin ang saya at panalo! 100% deposit bonus sa iyong una. Mag-register na.,Gambling Scam,3
+63909****175,Hindi mo na kailangan lumayo para maghanap ng pagkakaaliwan. Chill ka lang jan sa bahay mo at maglaro nito! amped.ph/home Register kana at may FREE 60p ka pa!,Gambling Scam,3
+63900****000,"[NAME]. Kunin ang pera magtrade at magipon ng ¤20,000 https://fxtrade.onelink.me/OCGP/bwxxmns7",Investment Scam,6
+63985****976,"CONGRATULATIONS! You are selected in our Limited Time Raffle Draw, P50,000 grand prize winner! Visit and claim now: http://betting.pics/Apo",Raffle Scam,11
+63981****967,"Forex trading platform legit and tested! Invest P1,000, kita ka ng P10,000 in 7 days. Guaranteed profit, mag-register na: http://5irpkseo.com",Investment Scam,6
ntc,"1/2 HUWAG MANIWALA SA TEXT NA NAGLALAMAN NG INYONG PANGALAN NA NAG-AALOK NG TRABAHO, PABUYA O PERA. ITO AY ISANG SCAM.",HAM,5
smart,Don't miss the action of another epic season with NBA League Pass! Get superstar-level streaming for only P425/month with Smart Signature! Learn more at smart.com.ph/nbaleaguepass,Commercial Spam,1
BDO Deals,"Fly for less at the Philippine Airlines Anniversary Seat Sale! Unlock travel deals when you book online or at ticket offices with your BDO Credit or Debit Card from March 2-15, 2026. Visit BDO web, search Philippine Airlines for T&Cs. CAB 0180 & 0181-02-20-s2026 & DTI244037",Commercial Spam,1
+63981****644,Libreng 10 usd GIVE AWAY! Halika at kunin !http://ct9iqlnq.pole5a.com/0vej4?c=2,Prize Scam,10
+6395122***84,"PH SOClAL SECURlTY SYSTEM Your Employer Contribution lump-sum Payment Benefit Grant will expire on July 31, so pick it up at ssssmy.lc",Government Spoofing,4
GCash,Simulan ang negosyo with up to P125K instant cash straight to your GCash wallet via GLoan! Go to your GCash dashboard and tap GLoan to learn more.,Commercial Spam,1
+63985****735,"Dear BANCO DE ORO Customer, Account re-verification needed due to a system update. Follow instructions at officialapp.info/online.bdo.com.ph . Thank you for your cooperation. Sincerely, BANCO DE ORO",Bank Scam,0
+63981****190,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws.Â slotsbet.tv/wrgRT",Gambling Scam,3
+63985****471,Kumuha ng 100% Deposit Bonus sa 177BET! Doblehin ang iyong deposito ngayon! Huwag itong palampasin! 177betb.info,Gambling Scam,3
BDO Deals,"Up to 50% OFF on VDAY Deals w/ BDO Cards! -50% OFF at Yellow Cab -25% OFF at Designer Blooms -25% OFF + FREE Shipping on FlowerStore .ph -20% OFF on foodpanda -Up to 6% OFF on Trip .com Promo period varies per partner. Search Valentine's on the BDO site for T&C. DTI210167,213454,213441,208244,210641",Commercial Spam,1
+6399938***71,"W19 Games, mag-imbita ng mga kaibigan at magkaroon ng bagong paraan ng pagkita ng pera sa paglalaro! tinyurl.com/W19sm07",Gambling Scam,3
gcash,"The iPhone 14 can now be yours at light and easy installments. Apply for a Citi credit card and get it for as low as P2,582/mo with Citi PayLite for 24 months! Valid for new Citi customers only. To apply, click on the Citi x iPhone ad in the You'll love this! section of your GCash app.",Commercial Spam,1
+63907****270,"Co in Makati needs Software Java Developer, knowledgeable in JAVA, in design, development & implementation of software applications , can start asap, kimphil28@gmail.com",Commercial Spam,1
+63915****745,"Ma, asan ka na? Pauwi na ko.",HAM,5
+63640****000,"[NAME]., Log in now to claim your free Credit 777 bonus and enjoy an amazing 3% GCash deposit bonus at GoJackpot. Hurry, Join now gjackpot0.com",Gambling Scam,3
UnionBank,"Congratulations! You are ELIGIBLE for UD Loans by UnionDigital Bank. Loan up to P390200 and have it credited to your account in minutes! Get the cash you need quickly and pay it back in light, easy installments at low interest rates! Hurry, apply now via https://loans.uniondigitalbank.io/ using the invite code BE2ACE. Offer is valid until 02/20/2024.",Commercial Spam,1
+63900****000,"Hello, new free money bonus 1800 with no deposit condition, please login https://www.sdfdi92.com to get free money 1800 now",Prize Scam,10
+6390907***97,EPwin: 180% Welcome Bonus hanggang 15k pesos at 1.2% daily rebate! Sumali na! eppachinko.cz,Investment Scam,6
MayaRewards,"You boosted your Savings interest to 6% p.a. until April 30, 2023! Starting tomorrow, your bonus interest will appear daily in your Savings history. Get 8% p.a. when you reach a total spend of Php 20,000! No Savings? Open now and deposit by midnight to earn free money everyday! Short on cash to boost your Savings interest? Pay with up to P18,000 Maya Credit! Activate now in the app. Available to select users only. Promo ends April 30, 2023. DTI161325S23",Commercial Spam,1
+63922****225,Anong oras ang uwi mo later?,HAM,5
+6390821***24,Helloï¼Œ new free money bonus 888 with no deposit conditionï¼Œ please login http://dchh.shop to get free money 888 now,Investment Scam,6
+63981****278,"See what job opportunity I have for you, reply to: mastjohn586@gmail.com",Job Scam,7
+63907****799,Ikaw ang maswerteng Makatanggap ng P555 na bonus >>> lvv65a118l.uk/?bmn7v6fyt,Prize Scam,10
+63995****446,"Your 600 Reward Pts. will Expire on SEPT. 10, 2022 Convert to Bonus Wallet Just Dial *100* 1*09557966706*600*1*# Press CALL",Prize Scam,10
+63640****000,"100% na cashback para sa mga bagong dating, hanggang P19800! Magparehistro at mag-claim ngayon! w19games.ph/4Dcv2xw",Prize Scam,10
BDO Deals,"Ending soon! Get up to P5K Cashback on Shopping spend with your BDO Mastercard Credit Card. Accumulate at least P50K spend in Retail Shops and Department Stores until 03/31/26, minimum of P2K per transaction. Enroll NOW using your Promo ID 432A4649AA Search Shopping Cashback for T&Cs. DTI247346",Commercial Spam,1
UA-ARO,#UNlONBANK NOTICE:Please complete the additional steps for verification of your account on the website in order to continuously access UNION BANK app and receive an OTP. Proceed to offical: https://unionbnking-userupdate.info,Bank Scam,0
SMART,Travelling soon? Stay connected across multiple destinations by Pre-booking a GigaRoam data pack. Visit the GigaRoam Portal in the Smart Website,Commercial Spam,1
NTC,DICT: Good news! Mayroon na tayong government services one stop app - narito na ang eGovPH App! I-download na ang eGovPH App mula sa App Store at Google Play.,HAM,5
+63910****172,talmudizestample.gl/lvn5glv029 Dagdagan ang iyong pagkakataong manalo. Libreng deposit money pagkatapos mag-register.,Gambling Scam,3
smart,2/2 Download the Maya app now at maya.ph/download to know more. T&Cs apply.,Commercial Spam,1
+6398547***15,[UNIONBANK] : Your account is on hold please verify here: myub-ph.net if your registered number is still active.,Bank Scam,0
mayarewards,"You boosted your Savings interest to 6% p.a. for 30 days! It'll start appearing in your Savings history tomorrow as 4.5% interest earned (up to P5M) plus 1.5% bonus interest (up to P100,000). No Savings? Open now and deposit by midnight to earn 6% p.a. daily! Promo until Jan. 31, 2023. DTI156276S22",Commercial Spam,1
GCash,"Pwede ka pang humabol for a chance to win a Yamaha Aerox, Samsung Washing Machine, or prizes worth up to P3M! Spend a min. of P1000 using GCredit to earn 1 raffle entry. Join now and use GCredit! Promo runs from Nov. 1 to Dec. 31, 2023! Per DTI Fair Trade Permit No. FTEB-179227 Series of 2023",Commercial Spam,1
NTC,"Legitimate companies will never ask for your passwords, OTPs, or credit card details via text. Protect your info-never share it with anyone. Don't click links from whatever source.",HAM,5
+6394776***04,NEWEST HOTTEST SITE JILI GAMES 100% LEGIT LIBRENG 1088P DITO NA ANG SWERTE NYO SALI NA http://okad666.life,Gambling Scam,3
+63917****718,* NeedCash? We OFFER 50k-2M No cASHOUT & fast apprÃ³ved..call or txt (09063444811) look ms.shei,Loan Scam,8
+63640****000,Weekend alert at WinningPlus! Claim 153% WEEKLY DEPOSIT BONUS tomorrow! New users get free 1000 bonus & 103% on deposits. Win Big Jackpot Slot at JoyWplus.com,Gambling Scam,3
+63981****987,"Good day! May part-time online job opportunity, P2,000/day, home-based, walang experience required. Email for details: rp865233@gmail.com",Job Scam,7
+63981****035,"[name], Nakakuha ka ng libreng 600p! pindutin para kunin http://ag63xi.com",Prize Scam,10
+63640****000,"Log in to receive PHP108 free rewards, deposit 100 and get 250, and win the highest cash in daily draws. joylucky.tv/MsM",Raffle Scam,11
+6397018***91,"Join Love Event & Win GLAMIRA Ring On GoJackpot. Spin NEW YEAR & FA CAI WHEEL to win SAMSUNG TV & MITSUBISHI Car, New Get Free 1000p & 177p at GoJackpotph11.icu",Gambling Scam,3
NTC,SEC: Bayad muna bago utang? Baka advance fee scam na 'yan. Dumulog sa SEC website o official FB page para sa dagdag kaalaman.,HAM,5
+63956****658,Play to w1n? s1gn up for FREE PES0! attractive pr1zes! CASH! CAR! M0BILE PH0NE N MORE! C0CKF1GHTING L1VE CAS1N0 SL0TS N MANY! bit.ly/ZsxT1w4s,Raffle Scam,11
+6390909***20,"Mag-recharge get 100% bonus, gamitin ang 100 para manalo ng 10k! kb7n3vzh.uk",Gambling Scam,3
GCash,"Kailangan ng extra funds pang shopping? Get up to P125K instant cash with GLoan. Easy cash, easy approval, & easy interest rate. Tap GLoan to learn more.",Commercial Spam,1
MayaRewards,"Nice! You received a P10 voucher from Maya. Use it for your load, bills, shopping, and more. Tap 'Vouchers' on the app to claim your gift before it expires!",Commercial Spam,1
+63981****209,"J****** *****.,mybitglobal, lagyan ng yaman ang bulsa http://5irpkseo.com",Investment Scam,6
BDO Deals,"30% OFF at Hai Chix & Steaks w/ BDO Credit Cards -Min bill of 5k -til 6/30/25, M-Th Search Hai Chix on BDO web for T&C.DTI220055 To stop msgs,txt STOP to 225678",Commercial Spam,1
+63912****549,The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address. mypphlpolstt.xyz/rHyqSA,Delivery Scam,2
+63960****495,2022 Best On|ine CAS1N0 & S|ot Ranking: NO.1 Free B0NUS & Daily sa|ary http://pbplat.com,Gambling Scam,3
+63963****812,"Congratulations GCash User! You have received P15,500 from GCash Loyalty Team. Claim your cash by clicking the link below. Claim your cash at gcash-appcash.website/rewards Thank you for choosing GCash App.",Prize Scam,10
+63912****334,"[name],, WIN+ Ranggo #1 Kumuha ng 1PH0NE14PR0MAX! Claim 5277 Bonuses at hanggang sa 3% Extra Per deposit! w22pl7s.com/W14",Prize Scam,10
+63912****885,"ay malayang nag-aalok sa iyo ng 88 P , kunin ito dito:ty80.tv",Gambling Scam,3
+63960****259,"k. Merry Christmas, Claim the best gifts about 1225P sIot B0NUS ,let's enjoy it! Web: will-f.life",Gambling Scam,3
+63951****372,"GJPrize.de! Sunday is your chance to win big! Spin the Daily Lucky Wheel for a Samsung Galaxy S23+ 5G (P42,999 value). Newbies get 200% bonus + P3000.",Gambling Scam,3
+63951****214,"O. Thanks for your trust in Smart! you will have P1555 for slot , Web: will-s.life",Pasaload Scam,9
BDO Deals,"Convert purchases from The Great BDO Travel Sale to installment at 0.49% monthly add-on rate for 3 - 24 months with your BDO Credit Card. Plus, pay 3 months later & get up to P3K SM Gift Pass with P50K min. spend when you apply onsite: -Manila: SMX Aura, May 29 - Jun 1, 2025 -Cebu: Northwing Atrium, SM City Cebu, Jun 20-22 -Davao: Mall Atrium, SM Lanang, Jun 27-29 Visit BDO website>Deals & search Purchase Convert Travel Sale. T&Cs & fees apply DTI225204",Commercial Spam,1
+63951****597,"talmudizestample.gl/xknxqk2m Mag-sign up, maglaro, at manalo! Libreng deposito, handa na para sayo.",Gambling Scam,3
+63981****188,May P150 cashback para sayo sa pag-verify ng 3 barkada mo bilang co-signer! Pwede pang bumuo ng P30K/day cashback bonus upon account verification. Try na para hindi ma-lock: egamesph.com/promo,Bank Scam,0
+63985****913,"<REAL NAME>, Be the Lucky player at T1bet! 50% Casino Reload Bonus up to 1,000php! Sign up to Play now! t1betrich.com",Gambling Scam,3
PagIBIGFund,"Hi SCOTT! May mga nanalo na ng cash prizes sa LOAN-TO-WIN RAFFLE PROMO! Ikaw na kaya ang next winner? Apply na sa Pag-IBIG Multi-Purpose Loan para sa chance mong manalo ng up to P50,000 sa Grand Draw! For more details, visit our website then go to the LOAN-TO-WIN RAFFLE PROMO page.",HAM,5
+63640****000,Napili ang number na ito upang manalo ng P2874! Sumali sa zxcd.eu gamit ang number na ito at maglagay ng P100 upang ma-claim sa 24/7 customer support,Prize Scam,10
+63930****128,May Bonanza package! Magdeposito at makakuha ng 3 araw na libreng kredito UP to 300 p at 100% welcome bonus. Website : epwinph.eu Maglaro ngayon!,Gambling Scam,3
BDO Deals,"Book your next adventure, go to the BDO Travel Sale! Enjoy exclusive deals w/ your BDO Cards fr. Mar. 13-15, 2026 (10am to 9pm) at Mega Fashion Hall, SM Megamall or online via www. bdo. com. ph/ travel. T&Cs apply. DTI249003",Commercial Spam,1
+63929****481,Stay safe always.,HAM,5
+63909****458,"<REAL NAME>, Claim your free P50 & another P50 for inviting a friend. Sign-up now here duopromo1.com",Gambling Scam,3
+6396048***33,Makilahok sa laro para magkaroon ng pagkakataong manalo ng 1888p reward http://lucky-888.world,Gambling Scam,3
+63950****956,"Weekend Jackpot at GoJackpot's Halloween Event: Win 4888 daily, enjoy 205% Extra Bonus, Free 777 & 177, and Spin & Win iPhone 15 Pro Max at http://GoJPLuck5.com",Gambling Scam,3
+63960****114,"i. Claim 66666P sIot B0NUS up to 66666! Celebrate the 2022 World Cup biggest events ,cheers for crazy win. Web: pinas-s.life",Gambling Scam,3
+63910****623,"Goodnews for today! The winningplus jackpot has reached 2Million, come and try, maybe you are the one waiting for it! Play now! wpfifa.com/7777FIFA",Gambling Scam,3
eGovPH,"Pwede ng ma-access ang iba't ibang government services gaya ng Philhealth, GSIS, National ID at iba pa! Download eGovPH App now on both iOS/Android.",HAM,5
+63920****880,"Experience SBET, STABLE SYSTEM, NO MAINTENANCE! Play Jili,FC & get bonus. Gcash, Maya, Grab, Bank all available sbetnow.*(com)",Gambling Scam,3
+6390792***40,"Ready for thrills? GJP PH's T.G.I.F Event tomorrow! Bag 6,888p & up to 12,000p in Bet Tournament! Oppo Reno 11 Pro in the Tourna! Gojpwheel.de",Gambling Scam,3
+63981****821,BingoPlus PH: Lucky promo code activated! P777 free play credits for new members. Claim and win cash agad: bingoplus.com/?pal=1002723180,Gambling Scam,3
+63909****776,"It's Tuesday! Sumali ka na sa weekly raffle draw, rest and relax with philexpress.news/Live here. P100,000 grand prize winner, you're sure to have a good day!",Raffle Scam,11
+63962****712,"Dear User, Your GCash account has received P13,000 from GCash Support. Redeem here: claimpeso.de/?claimid=37 Thank you for choosing us!",Prize Scam,10
gcash,Kaya nang mag-load without cash by using the GCash app! Go to your GCash dashboard and tap Buy Load to start!,Commercial Spam,1
+63907****246,"<REAL NAME>, JACKPOTCITY offers the most reliable and well-liked gaming platform, so play and win there! Become a member right away to get up to 80,000 cash prizes & more ! Sign-in now jackpotcitywinrich.com",Gambling Scam,3
+63981****269,Matapos may manalo ng 39.6Million sa bit.ly/BingoPlus1 umabot agad ng 5.6M ang jackpot for only 1Peso! Register and get free40PHP. Easy cash in/out via gcash,Gambling Scam,3
+63981****992,"ECQ. of YEAR'2021 Ma'am/Sir. Congrat's You are lucky winner of'(Php 350,000.)from.( SEN. MANNY PACQUIAO.).To Claim Please send your.NAME/AGE/ADD/WORK/.Im Sec.Jade L.Ayala dti'FTEB#24000'S2021. thank you!",Prize Scam,10
+63981****533,Legit message from Robocash,Raffle Scam,11
+6390837***82,Maligayang pagdating sa W19 Games! Rehistrado na at makakuha ng 50% dagdag na bonus! I-click dito: tinyurl.com/5t4spvue,Gambling Scam,3
+63969****467,"Mayroon kang unclaimed top-up bonus, huwag palampasin ito http://fdsv05.site",Prize Scam,10
+63640****000,"Embrace Winplus joy! Free P588 red packet, WEEKDAYS Unlimited 999 bonus, and 588 Free on 1st deposit. Explore at http://winplus3.icu",Prize Scam,10
+63981****914,"FIRST New Register MEMBERS Depo100 free100P..free up to 5000P!DONT NEED DOWNLOAD APP,STRAIGHT PLAY AND Easy Win All GAME! https://t.ly/ATEbunny@02.com",Raffle Scam,11
+63985****389,"You can get a commission of 77,777 per day. Come with me, I will give you 7-777 right now bonus10.tw/uOyWx",Gambling Scam,3
+63946****519,Maglaro ngayon (real name ko) sa patok na Online Game ang Winning plus! makakakuha ka ng 5499 at 3% sa bawat deposito! Q7s4G/pdPrE= w5npl7s777.com/777,Gambling Scam,3
+63981****641,Full name ko na nakaindicate. Yung surname ko hindi lang initials na.,HAM,5
pldthome,LAST CHANCE to win a Samsung Freestyle Projector! Sign up & activate your FREE Lionsgate Play access at pldthome.info/LGP to earn a raffle entry! DTI150265S22,Commercial Spam,1
BDO Deals,"BDO Travel Sale is EXTENDED 'til 10/31/24 (unless specified). Book from our airline partners via online or ticket office using BDO Cards for as low as USD284 (Japan) USD220 (Korea), USD404 (USA) & USD563 (Europe). Travel period varies per partner. Search BDO Travel Sale on BDO site for T&Cs. DTI203970",Commercial Spam,1
+6393056***22,eccash-loan now,Loan Scam,8
+6396828***84,Ikaw ang maswerteng Makatanggap ng P555 na bonus >>> zaqwsx.pgwinwin.fi,Prize Scam,10
+63968****605,Ikaw ang maswerteng Makatanggap ng P555 na bonus >>> yg54yt7r7y.uk,Prize Scam,10
+63951****264,"V! [Shopee] You are eligible for free P2999/IPHONE/XiaoMI, 55% chance get rewards! web: luckypha.live",Prize Scam,10
+63942****481,"Yes po Mam Bea, sorry late reply, Shih Tzu Puppies Casino Promo namin pwede po installment 3mos to 1 year to pay para sa playing credits! Slots and live dealer waiting. Dito po kayo reply mam Bea 09178812711. Thank you.",Gambling Scam,3
+63981****996,W+ Hot Spin Game Kunin ang IPHONE PRO MAX 14 [my complete name]! Mag-sign up para sa W+ at makakuha ng 5499 sa ilang segundo! wplus14.com/WIN789,Prize Scam,10
+63985****317,Bet 20 pesos lang to 74k wins Grabee ka din tlga super ace! clickhere.cx/83ljMWoqF3m,Gambling Scam,3
+63909****724,"Puro ka trabaho, laro ka naman, hindi mo napansing may parcel. Ako nga pala si JB delivery agent. Confirm address to release shipment, free 60P shipping voucher for first signup: amped.ph/join",Delivery Scam,2
+63640****000,"GCASH: Your account is temporarily on-hold, due to security purposes. Kindly verify here https://sprl.in/AppGCash",Bank Scam,0
+6398555***81,Join 177bet. Get 38P bonus for free 2i1v7y7.at,Gambling Scam,3
+63970****315,Get 2888 â‚± for free. Click; https://xt5746.com,Gambling Scam,3
+63963****063,"April's best offer is here! Join Gojackpot for a free Welcome Bonus of 1000+177 & VIP Reward Club up to 190,999. Sign up now for exciting wins GoJackpot.eu",Gambling Scam,3
gcash,G sa paglago ng negosyo this Christmas! Mag-GLoan na at dagdagan ang puhunan pang-live selling. Tap Borrow > GLoan on the GCash app to learn more.,Commercial Spam,1
+63912****883,1000% Luck bonus on â‚±1000 balance. Register: play72.tw/Snuf,Gambling Scam,3
smart,2/2 The scam tricks you into calling back International numbers where you unknowingly incur IDD charges.,Commercial Spam,1
BDO Deals,#TravelBETTER w/ BDO Cards! -Up to 10% OFF on Trip .com -8% OFF on Agoda -Up to 60% OFF Big Sky Search Travel Deals on BDO web for DTI approved T&Cs,Commercial Spam,1
+63981****237,"The[-Big'ge'st-] PH [-On-line-] [-G @ me's-]with-24/7-C @'s.h-In/Out http://phgaming.xyz/Cc7 300[-G.ET-]300, 3000[-GE.T-]3000",Gambling Scam,3
+63981****182,"4 na pirasong SOLAR LIGHTS sa halagang 1,499. Click mo eto para bumili --> https://s.lazada.com.ph/s.UrR50 Yes! Apat na piraso ! Dahil naka SALE siya ngayon!",Commercial Spam,1
+63640****000,Come to open an account and receive 50MBG airdrop coins for free!Google play or APP store search for mybitglobal to download apps,Gambling Scam,3
+63981****986,"Congratulations! Approved ka na para sa iyong instant personal loan up to ?35,000. 0% interest for the first 30 days, No Payslip & No ID required! To transfer your cash straight to your GCash or Maya wallet, claim it here: https://t.hxfxph.com/MRGG0",Loan Scam,8
+63930****438,"Huy, asan ka na? Tagal mo naman.",HAM,5
