masked_celphone_number,text,intent,Cluster,
+63917****846,"
Celebrate Independence Day at Vu's Bar Sky Bar & Lounge!

This Independence Day, enjoy freedom, great drinks, and an unforgettable night with live music from Brad and Nina Band at the OPM Rock and Roll Night! ðŸŽ¶

ðŸ“ Venue: Vu's Bar Sky Bar & Lounge, 45th Floor, Marco Polo Ortigas Manila
ðŸ“… Date: June 12
â° Time: 8:00 pm

Don't miss out on a night full of fun, great vibes, and amazing views! ðŸ¹",Commercial Spam,,
+63917****846,"
Celebrate Independence Day at Vu's Bar Sky Bar & Lounge!

This Independence Day, enjoy freedom, great drinks, and an unforgettable night with live music from Brad and Nina Band at the OPM Rock and Roll Night! ðŸŽ¶

ðŸ“ Venue: Vu's Bar Sky Bar & Lounge, 45th Floor, Marco Polo Ortigas Manila
ðŸ“… Date: June 12
â° Time: 8:00 pm

Don't miss out on a night full of fun, great vibes, and amazing views! ðŸ¹

For reservations, please contact:
ðŸ“ž 0917 133 4192
ðŸ“ž 0917 129 3846
ðŸ“ž (+63 2) 7720 7777

",Commercial Spam,,
+63917****846,"Barbie Almalbis Live at Vuâ€™s Bar and Lounge! âœ¨ðŸŽ¸

Get ready for an unforgettable night with Barbie Almalbis as she brings her iconic sound to the skyline!

ðŸ“ Venue: Vuâ€™s Bar and Lounge, 45th Floor, Marco Polo Ortigas Manila
ðŸ“… Date: June 13, 2025 (Friday)
ðŸ•¢ Doors Open: 7:30 PM
ðŸŽ¶ Performance Starts: 8:00 PM

ðŸŽŸï¸ Entrance Fee: â‚±1,500 per person
ðŸ¸ Includes a welcome drink to kick off the night!

Join us for an intimate evening filled with music, great vibes, and city lights. Limited slots availableâ€”come early, bring your friends, and donâ€™t miss this one-of-a-kind performance above the clouds!

ðŸ“ž Reserve your spot now!
Contact us at 0917 133 4192 or 0917 129 3846


#BarbieAlmalbisLive #VusBarAndLounge #MarcoPoloOrtigas #LiveMusicManila #OPMNight
",Commercial Spam,,
+63917****846,"Barbie Almalbis Live at Vuâ€™s Bar and Lounge! âœ¨ðŸŽ¸

Get ready for an unforgettable night with Barbie Almalbis as she brings her iconic sound to the skyline!

ðŸ“ Venue: Vuâ€™s Bar and Lounge, 45th Floor, Marco Polo Ortigas Manila
ðŸ“… Date: June 13, 2025 (Friday)
ðŸ•¢ Doors Open: 7:30 PM
ðŸŽ¶ Performance Starts: 8:00 PM

ðŸŽŸï¸ Entrance Fee: â‚±1,500 per person
ðŸ¸ Includes a welcome drink to kick off the night!

Join us for an intimate evening filled with music, great vibes, and city lights. Limited slots availableâ€”come early, bring your friends, and donâ€™t miss this one-of-a-kind performance above the clouds!

#BarbieAlmalbisLive #VusBarAndLounge #MarcoPoloOrtigas #LiveMusicManila #OPMNight
",Commercial Spam,,
+63928****537,"Send Money Protect Policy will automatically renew on November 14th through your GCash for Php 1760.00. To cancel this policy, visit gcash.phlada.fr/n",Bank Scam,,
+63951****770,Your Luck Awaits! Grab P3000 Gift today at GJP PH GoJPLucks.golf,Gambling Scam,,
+63908****805,"Good day this is from Getmeds Philippines Inc my name is ren, we'll just ask if you want to order? I'll be more than happy to assist you â˜ºï¸",HAM,,
+63993****259,"G Cash Advisory!

Our system detected unrecognized login attempts to your G Cash. As a precaution, your G Cash was suspended for 24 hours. To resolve this issue,

Visit: glife.money/G-Cash",Bank Scam,,
+63948****446,"URGENT ACTION REQUIRED: Your account needs attention! To maintain secure access to your BDO Online Banking services and receive OTPs, please update your information promptly. Visit Online-App.ltd!SecureBDO to complete this important step.",Bank Scam,,
+63910****220,"BigWln, nanalo ka ng Prize: P39,259. Magparehistro Makakuha ng P17~Maglaro ng P50 Makakuha ng P57. Libreng P128 para sa unang deposito~ gdubw.social  ",Gambling Scam,,
+63951****553,"Free slot machines worth 80 million pesos are waiting for you! Register to get 238P, first deposit will get 588p for free, rebate website  pvej.sg  ",Gambling Scam,,
+63948****410,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: xpio76ytr.la,Gambling Scam,,
+63907****483,"Join GJP Casino's Bet Tournament to win up to 12,000 points!
GJProsper.de
New members receive a 200% bonus + 3000 points. Start winning today!",Gambling Scam,,
+63948****813,Ikaw ang maswerteng Makatanggap ng P555 na bonus >>>  URL: 177bet. xyz,Gambling Scam,,
+63951****262,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa URL: 177bet. xyz,Gambling Scam,,
+63930****956,"Nanalo ng Jackp0t! Nanalo ka ng Prize na P64,347! I-download na para makakuha ng P57 nang libre. Makakuha ng 128 libre para sa 1st Deposit. gghnm.dhaui.ca  ",Gambling Scam,,
+63964****163,Mag-register na sa EPwin at makakuha ng 180% Welcome Bonus hanggang 15k pesos + 1.2% araw-araw na rebate sa epicgamb.de! Huwag palampasin!,Gambling Scam,,
+63930****985,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: asace.wang/p to continue using our services",Bank Scam,,
+63951****753,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: yystf5ree.nl,Gambling Scam,,
+63951****372,"GJPrize.de! Sunday is your chance to win big! Spin the Daily Lucky Wheel for a Samsung Galaxy S23+ 5G (P42,999 value). Newbies get 200% bonus + P3000.",Gambling Scam,,
+63951****849,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: boxjam.de.,Gambling Scam,,
+63951****283,"GJChips.de! Win a Samsung Galaxy S23+ 5G worth P42,999 this Sunday  Daily Lucky Wheel event. New members get 200% bonus + P3000. Sign up!",Gambling Scam,,
+63963****529,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: joypod.de.,Gambling Scam,,
+63907****860,Unleash your potential with T.G.I.S.! Sign up now for a 999p bonus! Enter the Lucky Wheel for a chance to win Xiaomi 14 at WPSlots.de! Start winning now.,Gambling Scam,,
+63964****762,"Friday fun is here! Enjoy 6,888p + 6,888p at GJP PH's Payday Blast. New members get 3000p at GJSlots.de . Don't wait, join now!",Gambling Scam,,
+63951****916,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: joypod.de,Gambling Scam,,
+63951****551,100 pesos mo gawin nating 200!  Copy this to browser [ kklfph.fyi ] to get!,Investment Scam,,
+63951****160,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: boxlid.de,Gambling Scam,,
+63907****899,Congrats VIP! You've won 300% First Deposit Bonus and FREE100 FBS Bonus! Claim now before its gone! Contact Customer Service to seize your luck! pnlkawon.de !,Prize Scam,,
+63951****823,"Ikaw ang maswerteng
Makatanggap ng P555 na 
bonus >>> tssccc.pgwinwin.ca  ",Gambling Scam,,
+63951****263,Claim your b0nus! Magl0g-in at kunin ang 100 pes0s ngayon! Pumunta sa link na to { kklfph.fyi },Prize Scam,,
+63909****076,"Elevate your status! Join Sbet VIP for up to 88,888p Bonus! New members score 3,000p Welcome Bonus + daily rewards! Sign up at SBCash.de !",Gambling Scam,,
+63912****025,"July is here! Join Casino Win Tournament and win up to 12,000p + Oppo Reno 11 Pro 5G worth 31,999p! Get daily rebate 0.6% at Winplaysuper.de . Sign up now!",Gambling Scam,,
+63951****982,Nanalo ang number mo ng P2874! Mag-register gamit ang number na ito upang makuha and premyo. Sumali dito: antfig.de,Prize Scam,,
+63968****001,"100% first deposit bonus,57 bonus for inviting friends, 18-88 bonus for download APP.What are you waiting for : 38.11.89.106",Gambling Scam,,
+63909****512,Saturday Storm at WPlusGame.de ! Grab your 999p Bonus + up to 100% first deposit bonus + 588p. Don't miss the fun!,Gambling Scam,,
+63951****630,Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: nowjam.de,Gambling Scam,,
+63951****653,Subukan ang saya at kunin ang 100% Welcome Bonus + 50% Live Casino Bonus sa EpicWPlay.de hanggang 3000 pesos! Sumali na ngayon!,Gambling Scam,,
+63970****761,"Get ready for the ultimate GJP PH T.G.I.F Event today! Win 6,888p & up to 12,000p in Bet Tournament! Grab an Oppo Reno 11 Pro in our Tourna! Gojpcards.de",Gambling Scam,,
+63907****589,"We have received your interest in applying for a Credit Card with NO ANNUAL FEE FOR LIFE

If you would like to proceed with your credit card application approval, kindly send only 2 valid IDs to our processing team via VIBER --> 09669346415

Once we receive your IDs, please wait for our verification call.",Bank Scam,,
+63930****491,"Ikaw ang maswerteng
Makatanggap ng P888 na 
bonus >>> supervvvip.ca  ",Prize Scam,,
+63951****147,Nalagay na sa iyong number ang P2500. Sumali gamit ang number na ito at maglagay ng P50 upang makuha: hnvb.uk,Gambling Scam,,
+63951****375,100k Jackp0t na naman! Ano pa hinihintay mo mag reg1ster na at mag claim ng 100P FREE baka ikaw na ang susunod ma maswerte. ODQZZ.eu,Gambling Scam,,
+63951****195,"Don't miss out on your chance to win big! Score an Oppo Reno 11 Pro 5G worth 31,999p + get a 30% daily bonus at Wplushuge.de! Join the excitement now!",Gambling Scam,,
+63968****607,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa ycx43ew7rt.uk,Gambling Scam,,
+63962****712,"Dear User,

Your GCash account has received P13,000 from GCash Support.

Redeem here: claimpeso.de/?claimid=37

Thank you for choosing us!",Prize Scam,,
+63964****276,Free 3000p & win VIVO V30e 256GB! Don't miss the Slot Tournament! sbetgift.eu,Raffle Scam,,
+63968****605,Ikaw ang maswerteng Makatanggap ng P555 na  bonus >>>  yg54yt7r7y.uk,Prize Scam,,
+63951****218,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: cxlk.uk,Prize Scam,,
+63909****120,"Winning Plus Tuesday Slots: Win Oppo Reno 11 Pro 5G + 512GB worth 31,999p + 30% daily bonus. Register now at Wplayace.de .",Raffle Scam,,
+63910****256,May P6140 na natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Maglagay ng P50 upang maclaim sa aming 24/7 CS: mwjt.uk,Prize Scam,,
+63909****318,"Daily Lucky Wheel at   Gojpluswild.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Grab your chance to win big!",Raffle Scam,,
+63909****793,"Spin the Daily Lucky Wheel at Gojplaywildph.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Sign up now!",Raffle Scam,,
+63951****610,May P6140 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: phee.so,Prize Scam,,
+63907****338,Sa tuwing tumataya ako sa lvv65a118l.uk nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Investment Scam,,
+63907****742,Celebrate GCash 10th Anniversary! Get a P1000 Top-up Voucher for only P399! Visit gcash-10-year.lc/G and join the fun! Offer ends July 31. Don t miss out!,Bank Scam,,
+63951****726,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: zaqw.de,Prize Scam,,
+63907****852,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk,Investment Scam,,
+63951****913,WinningPlus T.G.I.S blast! Grab a 6888p Bonus! New members enjoy a Special Offer of 999p + Free 588p! Join now at  Wplaymegaph.de,Gambling Scam,,
+63951****913,WinningPlus T.G.I.S blast! Grab a 6888p Bonus! New members enjoy a Special Offer of 999p + Free 588p! Join now at  Wplaymegaph.de,Gambling Scam,,
+63946****487,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: iopq.de,Prize Scam,,
+63946****487,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: iopq.de,Prize Scam,,
+63951****096,"Experience Friday Fever at GJPrefferal.de! Score a 6,888p Bonus and enter to win the VIVO V30 PRO 5G. Celebrate your Friday with a win!",Gambling Scam,,
+63951****262,May P2580 credit natanggap ang number na ito! Ito ay valid lamang within 8 hrs! Magregister at maglagay ng P50 upang maclaim sa aming 24/7 CS: cxbz.de,Prize Scam,,
+63909****963,"Greetings from BDO, as part of our continuous effort to bring you the best online banking services, we request that you verify your account information to continually access mobile banking and receive an OTP. Proceed to online.mybdo-secure.tw . Failure to do so will result in an account suspension.",Bank Scam,,
+63970****568,Claim 3000P FREE + stand a chance to win the VIVO V30e 256GB! Join the Slot Tournament now for your chance to win fantastic prizes! sbetcoinph.eu,Gambling Scam,,
+63962****471,"
[BDO Unibank]

Hello,

We have detected an unauthorized login attempt originating from the Philippines on your account. Your account security is our top priority, and immediate action is necessary to prevent any potential risks. Thank you for your swift response to this security alert.

visit here: t.co/IcEHUSej6K",Bank Scam,,
+63910****248,"Gcash. 

Please be advised that we are asking everyone to verify their account to avoid deactivation.

Verify here: qrqr.ai/GcashHelpCenter",Bank Scam,,
+63909****776,"Sign up for a random free reward,up to P1688,minimum P22,no strings attached,Act Now!

auvip.eu

Get another P188 for downloading the app!",Prize Scam,,
+63907****318,Sumali sa Spins Round Challenge! May chance kang mag-uwi ng Brand New Yamaha Mio Gravis! Bisitahin ang spinsfun.eu para sa mga detalye ng bonus!,Gambling Scam,,
+63907****799,Ikaw ang maswerteng Makatanggap ng P555 na  bonus >>>  lvv65a118l.uk/?bmn7v6fyt,Prize Scam,,
+63951****044,WinningPlus is your key to a Honda Click 125i V3! Get up to 100% bonus and 588p + 388p bonus as a new member. Sign up at Wplusmegaph.de today!,Gambling Scam,,
+63962****445,"BDO Online | System Advisory 

Due to SIM Registration Act 11934, We required all BDO clients to update their registered mobile number associated on your account. please visit here: online.mybdo-service.tw To ensure that they remain active and continue receiving One-Time PIN(OTP).",Bank Scam,,
+63909****453,"GJP Monday Adventure! Win a Xiaomi 14 in our Bet Tournament 

Gojpsuper.de

 New player special: 130% bonus + 1,000P! Join now and let the winning begin!",Gambling Scam,,
+63962****136,Sa tuwing tumataya ako sa lvv65a118l.uk/?9as7fkg8fs nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Gambling Scam,,
+63951****269,lucky7charm.uk <<< Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Gambling Scam,,
+63946****249,winner4bonus.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P50 upang makuha ang panalo!,Gambling Scam,,
+63910****685,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: centre.is/Glife to continue using our services",Bank Scam,,
+63962****463,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk/?098ccv5ss,Gambling Scam,,
+63930****102,"GCash:

Account verification needed due to suspicious transaction. 
Kindly Visit: centre.is/Glife to continue using our services",Bank Scam,,
+63909****146,Kaya mo bang manalo sa Spins Rounds Challenge? Ito ang iyong pagkakataon para makamit ang bagong Yamaha Mio Gravis! Tuklasin ang mga premyo sa spswins.eu !,Gambling Scam,,
+63907****728,"Electrifying weekend ahead! Enjoy 10% Jili + 12% Daily Bonus on SBET! Win smartphone worth 16,499 and get 3000 new member bonus at sbetcock.eu. Explore now!",Gambling Scam,,
+63909****785,Become a VIP affiliate with SpinsPh and earn lucrative commissi0ns! Join our team and start earning today! spnsph.nl,Investment Scam,,
+63951****711,phvegas.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P100 upang makuha ang panalo!,Gambling Scam,,
+63910****784,phvegas.uk <-- Claim here! Nanalo ka ng P2760! Maglagay lamang ng P100 upang makuha ang panalo!,Gambling Scam,,
+63946****936,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa lvv65a118l.uk/?6fg5dds,Gambling Scam,,
+63951****395,phcasino.uk << Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Gambling Scam,,
+63951****071,"Saya-saya, may kasamang bonus! Kumita ng hanggang 3000 pesos! Kuha ng 100% Welcome Bonus + 50% Live Casino Bonus sa epluckwin.de  !",Gambling Scam,,
+63951****798,"GG777 has free 1777 bonuses and super high discounts, come and join:a.f5sd1ab.ch",Gambling Scam,,
+63951****350,"Join GJPwheel.eu and spin to win a Samsung Galaxy S23+ 5G! Plus, get a 130% bonus up to P1000!",Gambling Scam,,
+63910****125,phprize.uk << Claim here! Nanalo ka ng P2760! Kunin na ang inyong premyo ngayon! Bisitahin ang link na ito upang makuha ang inyong napanalunan.,Prize Scam,,
+63909****174,Venture into the depths of an underground cave with Samsung Galaxy S23+ 5G! Enjoy a 130% bonus up to P1000. Explore GoJPwild.eu and unearth precious rewards!,Prize Scam,,
+63909****191,"Huwag magpahuli! Sumali na sa Rounds Challenge sa spnsmore.eu at manalo ng 100K Pesos, may LIBRENG BONUS pa!",Raffle Scam,,
+63909****482,Na refund na sa iyong account ang P2160. Mag register at maglagay ng P100 upang makuha: vvgo.uk,Prize Scam,,
+63962****391,"Social Security Plan
You are entitled to a lump sum benefit amount of P2,153 based on your total contribution in 2024, please apply at sssr.mx/7C",Government Spoofing,,
+63909****650,"Celebrate TGIF with GJP! Grab a 6,888p + 1,000p bonus and spin to win a Samsung Galaxy S23+ 5G! Visit  gjpotnows.de now!",Gambling Scam,,
+63907****378,"Experience the thrill at GJP's T.G.I.F event! Earn 6,888p + 1,000p bonus & spin for a Samsung Galaxy S23+ 5G. Visit gjpotfun.de now!",Gambling Scam,,
+63946****478,"Kumuha ng libreng P167, mag-lagay lamang ng P102 upang makuha: claimcenter.uk",Prize Scam,,
+63962****245,Sa tuwing tumataya ako sa l25aa4shui.uk/?20ssak1a nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Prize Scam,,
+63962****057,"Mag-recharge para makakuha ng 100% reward. Kung mas marami kang recharge, mas marami kang makukuha. l8shj7177a.uk/?lis88a",Prize Scam,,
+63962****057,"Mag-recharge para makakuha ng 100% reward. Kung mas marami kang recharge, mas marami kang makukuha. l8shj7177a.uk/?lis88a",Prize Scam,,
+63907****478,"PH SOCIAL SECURITY SYSTEM
You can receive P1,351.5 from My.SSS in 2024. Please check and verify your employers payment record: sssc.mx/?D9F4H8Dmu5",Government Spoofing,,
+63962****520,Sa tuwing tumataya ako sa l8shj7177a.uk/?akk890cn nananalo ako ng pera. Nagdeposito ako ng 500P at nanalo ng 10K. Sana ay kumita ka ng balitang ito.,Prize Scam,,
+63909****451,"Super Welcome bonus hanggang 3000 pesos ang maaring makuhang libre sa 100% welcome bonus + 50% Live Casino Bonus ! website : EpicWinLuck.de
",Gambling Scam,,
+63910****098,fg.ss777b.fo New member download to get P2268 FREE right now and contact our 24/7 service to get it,Prize Scam,,
+63962****948,"Hi,<REAL NAME>! Gusto mo ba ng 18-888 raffle ticket? Mag-register na sa goo-d.eu/4f4a at simulan ang saya!",Prize Scam,,
+63962****056,Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la,Delivery Scam,,
+63962****056,Your domestic  parcel tracking code RR*-16PH is undeliverable due to unverified recipient info. Please check                                    mada-ph.la,Delivery Scam,,
+63962****901,"Hello,<REAL NAME>! Ang swerte mo talaga! Nakuha mo ang 18-888 raffle ticket! Pindutin na: ga-me.eu/gzzr para kunin ang bonus mo!",Raffle Scam,,
+63962****988,"Hi,<REAL NAME>! Gusto mo ba ng 18-888 raffle ticket? Mag-register na sa goo-d.eu/biwm at simulan ang saya!",Raffle Scam,,
+63907****897,"Hey,<REAL NAME>! Good news! Nakuha mo ang 18-888 raffle ticket! Pindutin dito: goo-d.eu/ucuj para sa bonus mo!",Raffle Scam,,
+63962****643,Tracking Code (RR*197PH) The courier arrived 1 days ago but delivery failed. Please visit pw29b.cn and we will reschedule the delivery after your validate.,Delivery Scam,,
+63951****446,"rrrbet.ss777b.fo App to get 18-88, 100 to get 77, and enjoy 10% discount for daily deposits",Investment Scam,,
+63910****542,"App to get 18-88, 100 to get 77, and enjoy 10% discount for daily deposits                                                                                         fg777.ss777b.fo          ",Investment Scam,,
+63909****542,"Hey,Good news,may 18+77+300 free para sa'yo! Punta na dito: mar-t.eu/n9mw !",Gambling Scam,,
+63909****267,"Hi,Ready ka na ba? Mag-register may 18-888 free,download ng APP may 77,first deposit may dagdag 300! Tara na: mar-t.eu/ucup !",Gambling Scam,,
+63946****240,"Hey,Alam mo ba? Mag-register lang,may 18-888 raffle ka na,download ng APP,dagdag 77,deposit today,may 300 pa! Bisitahin: mar-t.eu/gzfv !",Gambling Scam,,
+63912****567,"ang galing! Mag-register ka lang,may 18-888,download ng APP,dagdag 77. First deposit? Boom,dagdag 300! Kunin na: mar-t.eu/biw8 !",Gambling Scam,,
+63946****581,"Hi,Andito na ang reward mo! Sa tatlong simpleng hakbang,makakakuha ka ng 18+77+300. Tingnan dito: mar-t.eu/ertaz !",Prize Scam,,
+63907****270,"Uy,Alam mo ba,may 18-888 raffle ticket ka at libreng 77 sa pag-download ng APP! Check mo dito: mar-t.eu/vrtv !",Raffle Scam,,
+63912****307,"Hey,Gusto mo ba ng 18-888 raffle ticket? Mag-register at makuha mo 'yan agad! Punta na sa: mar-t.eu/uci2 !",Raffle Scam,,
+63910****244,"Hi,May libreng 77 ka kapag nag-download ka ng APP! I-click na dito para simulan: mar-t.eu/gzxw !",Gambling Scam,,
+63910****618,"Hey,May 18-888 raffle ticket,libreng 77 sa APP,at dagdag 300 sa deposit na 500! Mag-register na: mar-t.eu/2nh8 !",Raffle Scam,,
+63930****632,"Hi,Gusto mo ba ng 18-888 raffle ticket,libreng 77 sa APP,at dagdag 300 sa deposit na 500? I-click dito: mar-t.eu/uciz !",Raffle Scam,,
+63910****588,Na refund na sa iyong account ang P2020 at may pa bonus pang kalakip dahil sa abala na dinanas. Check mo na ang credit mo dali! Claim na:                          win996.fo,Loan Scam,,
+63910****929,Congratulations on receiving a special invitation. Register to receive for free                                                                                    1.ss777b.fo,Gambling Scam,,
+63907****454,"Wow,<REAL NAME>! Ang swerte mo naman! May 18-888 raffle ticket ka! Punta na dito: beeph.eu/ucuq para kunin ang bonus mo!",Raffle Scam,,
+63907****642,"Hi,<REAL NAME>! Ang galing mo! May 18-888 raffle ticket ka! Click na dito: beeph.eu/n9m7 para makuha ang bonus mo!",Raffle Scam,,
+63907****305,"Hello,<REAL NAME>! Alam mo ba? May 18-888 raffle ticket ka! I-click dito: beeph.eu/biwd para sa bonus mo!",Raffle Scam,,
+63907****629,"Hey,<REAL NAME>! Good news! Nakuha mo ang 18-888 raffle ticket! Pindutin dito: beeph.eu/vrtv para sa bonus mo!",Raffle Scam,,
+63907****693,"Ay,<REAL NAME>! Sobrang swerte mo! May 18-888 raffle ticket ka! I-click na 'to: beeph.eu/ucua para makuha ang bonus mo!",Raffle Scam,,
